"","pkg_name","pkg_version","pkg_source_path","date_time","executor","sysname","version","release","machine","comments","has_bug_reports_url","license","has_examples","has_maintainer","size_codebase","has_news","has_source_control","has_vignettes","has_website","news_current","export_help","export_calc","check","covr","dependencies","dep_score","revdep_score","overall_risk_score","risk_profile"
"11","lubridate","1.9.2","/tmp/RtmpdVORqw/temp_file_5ad55f6d9118/lubridate-1.9.2","2024-03-29 11:04:18","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,0.861538461538462,1,0.0325803649000869,1,1,1,1,1,0.870466321243523,0.129839336387177,0.3,0.7574,"methods#generics#timechange (>= 0.1.1)#covr#knitr#rmarkdown#testthat (>= 2.1.0)#vctrs (>= 0.5.0)#Depends#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests",0.00407013771589613,0.999994579616883,0.412329535918389,"High"
"12","magrittr","2.0.3","/tmp/RtmpdVORqw/temp_file_5ad578c188bd/magrittr-2.0.3","2024-03-29 11:08:28","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,0.928571428571429,1,0.477707006369427,1,1,1,1,1,0.880952380952381,0.408496277612912,0.65,0.8386,"covr#knitr#rlang#rmarkdown#testthat#Suggests#Suggests#Suggests#Suggests#Suggests",0.000911051194400645,0.999999999882984,0.308392423653179,"Medium"
"13","MultiGroupSequential","1.1.0","/tmp/RtmpdVORqw/temp_file_5ad5332b0143/MultiGroupSequential","2024-03-29 11:09:42","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.282485875706215,1,0,0,0,1,1,0.578004170633666,0.75,0,"stats#OpenMx#hommel#Imports#Imports#Imports",0.000335350130466478,0.0965580062468228,0.583921358207912,"High"
"14","pandoc","0.2.0","/tmp/RtmpdVORqw/temp_file_5ad54072c6a7/pandoc-0.2.0","2024-03-29 11:11:37","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.134288272157565,1,1,1,1,1,1,0.422809779525781,0.75,0.1385,"fs#rappdirs#rlang (>= 1.0.1)#covr#gh#rmarkdown (>= 2.14)#testthat (>= 3.0.0)#tibble#withr#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.00669285092428486,0.20261296809401,0.384867519183051,"High"
"15","pkglite","0.2.1","/tmp/RtmpdVORqw/temp_file_5ad53eb89507/pkglite-0.2.1","2024-03-29 11:13:17","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.206043956043956,1,1,1,1,1,0.964285714285714,0.481789145013842,0.75,0.9438,"crayon#magrittr#remotes#knitr#rmarkdown#testthat#covr#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests",0.00247262315663477,0.0965580062468228,0.277324715129673,"Medium"
"16","purrr","1.0.2","/tmp/RtmpdVORqw/temp_file_5ad5725491a1/purrr-1.0.2","2024-03-29 11:14:29","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,0.9375,1,0.0472887767969735,1,1,1,1,1,0.984126984126984,0.100930173978894,0.4,0.9234,"cli (>= 3.6.1)#lifecycle (>= 1.0.3)#magrittr (>= 1.5.0)#rlang (>= 1.1.1)#vctrs (>= 0.6.3)#covr#dplyr (>= 0.7.8)#httr#knitr#lubridate#rmarkdown#testthat (>= 3.0.0)#tibble#tidyselect#cli#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#LinkingTo",0.119202922022118,0.999999994531293,0.35158910795879,"High"
"17","utf8","1.2.3","/tmp/RtmpM4RrZl/temp_file_4d2f55dfd85d/r-utf8-1.2.3","2024-03-29 11:31:23","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.206327372764787,1,1,1,1,1,1,0.622459331201855,0.65,0.7197,"cli#covr#knitr#rlang#rmarkdown#testthat (>= 3.0.0)#withr#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.00247262315663477,0.0965580062468228,0.314771257554485,"Medium"
"18","rhino","1.5.0","/tmp/RtmpM4RrZl/temp_file_4d2f9933a9d/rhino-1.5.0","2024-03-29 11:32:52","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.176470588235294,1,1,1,1,1,1,0.569976227910009,0,0,"box (>= 1.1.3)#cli#config#fs#glue#lintr (>= 3.0.0)#logger#purrr#renv#rstudioapi#sass#shiny#styler#testthat (>= 3.0.0)#utils#withr#yaml#covr#knitr#mockery#rcmdcheck#rmarkdown#shiny.react#spelling#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.924141819978757,0.149813063441762,0.416911769200336,"High"
"19","riskmetric","0.2.1","/tmp/RtmpM4RrZl/temp_file_4d2f24d56005/riskmetric-0.2.1","2024-03-29 11:34:44","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.0797448165869219,1,1,1,1,1,1,0.44825147377711,0.75,0.5391,"backports#utils#tools#xml2#httr#curl#urltools#memoise#BiocManager#cranlogs#covr#vctrs#pillar#tibble#pkgload#devtools#knitr#rmarkdown#withr#magrittr#dplyr#testthat#webmockr#jsonlite#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.924141819978757,0.0965580062468228,0.235778458481251,"Low"
"20","herald","1.0.2","/tmp/RtmpM4RrZl/temp_file_4d2f473789c2/sih-package-herald-1.0.2","2024-03-29 11:41:02","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.0236630383341221,1,0,1,0,1,0.898550724637681,0.224876921145135,0,0,"methods#dplyr#forcats#ggplot2#magrittr#purrr#rlang#tibble#tidyr#mvtnorm#officer#scales#pkgconfig#numDeriv#geomtextpath#ggrepel#knitr#patchwork#rmarkdown#testthat (>= 3.0.0)#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests",0.622459331201855,0.0965580062468228,0.582656386575416,"High"
"21","stringr","1.5.1","/tmp/RtmpM4RrZl/temp_file_4d2f63816ce4/stringr-1.5.1","2024-03-29 11:45:11","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.0816993464052288,1,1,1,1,1,0.983050847457627,0.338432705735493,0.75,0.9949,"cli#glue (>= 1.6.1)#lifecycle (>= 1.0.3)#magrittr#rlang (>= 1.0.0)#stringi (>= 1.5.3)#vctrs (>= 0.4.0)#covr#dplyr#gt#htmltools#htmlwidgets#knitr#rmarkdown#testthat (>= 3.0.0)#tibble#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.182425523806356,0.999999999429894,0.262088313586484,"Medium"
"22","styler","1.10.2","/tmp/RtmpM4RrZl/temp_file_4d2f4e889ca9/styler-1.10.2","2024-03-29 11:46:48","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,0.990521327014218,1,0.0334746708324035,1,1,1,1,1,1,0.470208730628278,0.65,0.9208,"cli (>= 3.1.1)#magrittr (>= 2.0.0)#purrr (>= 0.2.3)#R.cache (>= 0.15.0)#rlang (>= 1.0.0)#rprojroot (>= 1.1)#tools#vctrs (>= 0.4.1)#withr (>= 2.3.0)#data.tree (>= 0.1.6)#digest#here#knitr#prettycode#rmarkdown#roxygen2#rstudioapi (>= 0.7)#tibble (>= 1.4.2)#testthat (>= 3.0.0)#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.5,0.753623859477356,0.250123610516597,"Medium"
"23","teal.builder.checks","0.0.3","/tmp/Rtmp4727TL/temp_file_111717d05811/teal.builder.checks","2024-03-29 12:15:35","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",1,0,1,1,0.178997613365155,1,1,1,1,0,1,0.519339362167825,0.65,0.9538,"magrittr#purrr (>= 1.0.0)#checkmate (>= 2.1.0)#lubridate#stringr#dplyr#vctrs#testthat (>= 3.0.0)#quickcheck#knitr#rmarkdown#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests",0.0179862099620916,0.0965580062468228,0.288507419335991,"Medium"
"24","testthat","3.2.1","/tmp/Rtmp4727TL/temp_file_111713d26c60/testthat-3.2.1","2024-03-29 12:17:47","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,0.836734693877551,1,0.0203555434930113,1,1,1,1,1,0.994708994708995,0.100930173978894,0,0,"brio (>= 1.1.3)#callr (>= 3.7.3)#cli (>= 3.6.1)#desc (>= 1.4.2)#digest (>= 0.6.33)#evaluate (>= 0.21)#jsonlite (>= 1.8.7)#lifecycle (>= 1.0.3)#magrittr (>= 2.0.3)#methods#pkgload (>= 1.3.2.1)#praise (>= 1.0.0)#processx (>= 3.8.2)#ps (>= 1.7.5)#R6 (>= 2.5.1)#rlang (>= 1.1.1)#utils#waldo (>= 0.5.1)#withr (>= 2.5.0)#covr#curl (>= 0.9.5)#diffviewer (>= 0.1.0)#knitr#rmarkdown#rstudioapi#shiny#usethis#vctrs (>= 0.1.0)#xml2#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.993307149075715,1,0.450635183973106,"High"
"25","tibble","3.2.1","/tmp/Rtmp4727TL/temp_file_1117ab96936/tibble-3.2.1","2024-03-29 12:18:49","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,0.869565217391304,1,0.0522284122562674,1,1,1,1,1,0.977777777777778,0.394830748992765,0.55,0.821,"fansi (>= 0.4.0)#lifecycle (>= 1.0.0)#magrittr#methods#pillar (>= 1.8.1)#pkgconfig#rlang (>= 1.0.2)#utils#vctrs (>= 0.4.2)#bench#bit64#blob#brio#callr#cli#covr#crayon (>= 1.3.4)#DiagrammeR#dplyr#evaluate#formattable#ggplot2#here#hms#htmltools#knitr#lubridate#mockr#nycflights13#pkgbuild#pkgload#purrr#rmarkdown#stringi#testthat (>= 3.0.2)#tidyr#withr#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.999876605424014,0.999999999369185,0.239175961833572,"Low"
"26","vctrs","0.6.5","/tmp/Rtmp4727TL/temp_file_1117589d676c/vctrs-0.6.5","2024-03-29 12:22:20","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,0.870967741935484,1,0.0192752505782575,1,1,1,1,1,0.994736842105263,0.100109167966488,0.65,0.8461,"cli (>= 3.4.0)#glue#lifecycle (>= 1.0.3)#rlang (>= 1.1.0)#bit64#covr#crayon#dplyr (>= 0.8.5)#generics#knitr#pillar (>= 1.4.4)#pkgdown (>= 2.0.1)#rmarkdown#testthat (>= 3.0.0)#tibble (>= 3.1.3)#waldo (>= 0.2.0)#withr#xml2#zeallot#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.5,0.998014108111266,0.286801860450711,"Medium"
"27","waldo","0.5.2","/tmp/Rtmp4727TL/temp_file_11172cd50b4c/waldo-0.5.2","2024-03-29 12:27:04","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.120481927710843,1,1,0,1,1,1,0.710218732760062,0.75,0.9412,"cli#diffobj (>= 0.3.4)#fansi#glue#methods#rematch2#rlang (>= 1.0.0)#tibble#covr#R6#testthat (>= 3.0.0)#withr#xml2#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests",0.0474258731775668,0.577725137338047,0.351167082003664,"High"
"28","xlsx","0.6.5","/tmp/Rtmp4727TL/temp_file_111745c07ebf/xlsx-0.6.5","2024-03-29 12:28:33","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.0984251968503937,0,1,1,1,0,1,0.291935782665002,0.75,0.7633,"rJava#xlsxjars#grDevices#utils#rprojroot#testthat#covr#tibble#knitr#rmarkdown#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.0109869426305932,0.773474229572688,0.39697942640465,"High"
"29","synapser","0.2.1","/tmp/Rtmpt5c0tM/temp_file_7bdf58947fb0/synapser","2024-03-29 14:53:55","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",1,0,1,1,0.0670241286863271,0,0,1,1,0,1,0.586280996051124,0,0,"cli#curl#magrittr#haven#httr2#stringr#fs#purrr#checkmate#shiny#shinyWidgets#dplyr#shinyjs#shinyBS#bslib#withr#testthat (>= 3.0.0)#tibble#httptest2#knitr#rmarkdown#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.731058578630005,0.0965580062468228,0.506195631341399,"High"
"30","teal.builder.checks","0.0.1","/tmp/Rtmpt5c0tM/temp_file_7bdf4b34bf58/teal.builder.checks","2024-03-29 15:03:12","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.164835164835165,1,0,1,1,1,1,0.519339362167825,0.65,0.9587,"magrittr#purrr (>= 1.0.0)#checkmate (>= 2.1.0)#lubridate#stringr#dplyr#vctrs#testthat (>= 3.0.0)#quickcheck#knitr#rmarkdown#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests",0.0179862099620916,0.0965580062468228,0.309989675186743,"Medium"
"31","Tplyr","1.1.0","/tmp/Rtmpduc8xH/temp_file_4feb1e1a815b/Tplyr-1.1.0","2024-03-29 15:19:42","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.0376789751318764,1,1,1,1,1,0.988636363636364,0.250638869768241,0,0,"rlang (>= 0.4.6)#assertthat (>= 0.2.1)#magrittr (>= 1.5)#dplyr (>= 1.0.0)#purrr (>= 0.3.3)#stringr (>= 1.4.0)#tidyr (>= 1.0.2)#tidyselect (>= 1.1.0)#tibble (>= 3.0.1)#lifecycle#forcats (>= 0.4.0)#testthat (>= 2.1.0)#haven (>= 2.2.0)#knitr#rmarkdown#huxtable#tidyverse#readr#kableExtra#pharmaRTF#withr#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.731058578630005,0.178145726006279,0.457866638489828,"High"
"32","admiral","1.0.0","/tmp/Rtmpv7pcph/temp_file_551b7f67c196/admiral","2024-03-29 15:26:01","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",1,0,0.987012987012987,1,0.0223646936036976,1,1,1,1,1,0.992857142857143,0.153418123706183,0.5,0.979,"admiraldev (>= 1.0.0)#dplyr (>= 1.0.5)#hms (>= 0.5.3)#lifecycle (>= 0.1.0)#lubridate (>= 1.7.4)#magrittr (>= 1.5)#purrr (>= 0.3.3)#rlang (>= 0.4.4)#stringr (>= 1.4.0)#tidyr
(>= 1.0.2)#tidyselect (>= 1.1.0)#diffdf#DT#htmltools#knitr#methods#pharmaversesdtm (>=
0.2.0)#reactable#readxl#rmarkdown#testthat (>= 3.0.0)#tibble#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.817574476193644,0.20261296809401,0.204361198938619,"Low"
